title,url,datePosted,hood,description,address,compensation
Hardware/PCB/embedded co-founder sought for wearable startup,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-hardware-pcb-embedded-co/6935401127.html,2019-07-16 12:06, (San Francisco),"
        
What:  A unique product in the secure communications space, past PoC.

Where: San Francisco, pre-funding.

How: You should be able to work on equity-only basis for 4-6 months.

Task:  Hands-on. Design of custom PCB and/or integrating off-the-shelf module(s) with BT radio and separate CPU into the product, helping with porting the code to the embedded platform.

Why: Maybe not change the world as we know it, but small dent is a possibility.

    ",,"Equity only, moderate amounts of glory"
Autonomous Vehicle Operator | Baidu USA,https://sfbay.craigslist.org/pen/sof/d/sunnyvale-autonomous-vehicle-operator/6935322106.html,2019-07-16 10:46, (mountain view),"
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Baidu USA, one of the R&D centers of Baidu, China’s largest search engine provider,  is growing their team of Autonomous Vehicle Operators.HireArt is looking to hire an Autonomous Vehicle Operator to work at Baidu USA’s Sunnyvale location on a contract basis. In this role, you'll operate test vehicles to directly evaluate and improve their technologies. You will be uniquely positioned to contribute to an exciting team that is leveraging artificial intelligence, deep learning, big data, advanced hardware, and high definition maps toward the goal of commercializing autonomous driving.The ideal candidate is passionate about the Autonomous Vehicle industry, enjoys facing challenges, can quickly adapt to new processes, and is eager to add value with their feedback. You'll get to work with a high caliber, talented team, learn new skills, and be introduced to advanced software and hardware environments.This is a full-time, ongoing contract role through HireArt which may require some flexibility in schedule to accommodate testing during different weather conditions.As a HireArt employee you'll receive:
Employer-subsidized health, vision, and dental insurance
Employer-subsidized life insurance
Employer-subsidized short and long-term disability insurance
Responsibilities:
Master vehicle operations processes and practices
Provide detailed feedback on the technology 
Be a voice of Apollo, an open source autonomous driving platform, to our partners, self-driving enthusiasts & curious onlookers


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Requirements

BA/BS degree or comparable relevant experience.  
Valid US driver's license with at least 7 years of driving experience and a clean driving record 
Must have a sound understanding of autonomous vehicle technology 

Strong desire to learn new skills and technologies
 Strong communication skills, both verbal and written 
You are a great collaborator and team player
 Experience with Linux Operating System 
Nice to Have but Not Required 
Fluent in Chinese (Mandarin)
 Proficient in Microsoft Office Suite
 Experience with public demonstrations
 Commitment: This is a full-time (40 hours per week), ongoing contract position through HireArt and based in Sunnyvale, CA.  

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


About Baidu USA
Located in the heart of Silicon Valley, Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields. Baidu USA is comprised of four groups: Baidu Research US, Intelligent Driving Group US, Baidu USDC and Smart Living Group US. At Baidu USA, we act with the nimbleness of a startup, but as a global company, have access to immense computing resources and data. This makes Baidu USA the best place for those working in AI to see their work developed and potentially deployed to hundreds of millions of users. The name Baidu was inspired by a poem written more than 800 years ago during China's Song Dynasty. Baidu, whose literal meaning is “hundreds of times,” represents a persistent search for the ideal.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply

    ",,Competitive
Autonomous Vehicle Operations Specialist | Baidu USA,https://sfbay.craigslist.org/pen/sof/d/sunnyvale-autonomous-vehicle-operations/6935322090.html,2019-07-16 10:46, (mountain view),"
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply


Baidu USA, one of the R&D centers of Baidu, China’s largest search engine provider,  is growing their team of Autonomous Vehicle Operations Specialists.HireArt is looking to hire an Autonomous Vehicle Operations Specialist to work at Baidu USA’s Sunnyvale location on a contract basis. In this role, you'll  operate test vehicles to directly evaluate and improve their technologies. We're looking for an experienced autonomous vehicle operator to contribute to an exciting team and mission. You will be uniquely positioned to contribute to an exciting team that is leveraging artificial intelligence, deep learning, big data, advanced hardware, and high definition maps toward the goal of commercializing autonomous driving.The ideal candidate is passionate about the Autonomous Vehicle industry, enjoys facing challenges, can quickly adapt to new processes, and is eager to add value with their feedback. You'll get to work with a high caliber, talented team, learn new skills, and work within advanced software and hardware environments.This is a full-time, ongoing contract role through HireArt which may require some flexibility in schedule to accommodate testing during different weather conditions.As a HireArt employee you'll receive:
Employer-subsidized health, vision, and dental insurance
Employer-subsidized life insurance
Employer-subsidized short and long-term disability insurance
Responsibilities:
Master vehicle operations processes and practices
Provide detailed feedback on the technology 
Be a voice of Apollo, an open source autonomous driving platform, to our partners, self-driving enthusiasts & curious onlookers


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply


Requirements

BA/BS degree or comparable relevant experience.  
Valid US driver's license with at least 7 years of driving experience and a clean driving record 
6 months+ experience operating Autonomous Vehicles 
Must have a sound understanding of autonomous vehicle technology 
Strong desire to learn new skills and technologies
 Strong communication skills, both verbal and written 
You are a great collaborator and team player
 Experience with Linux Operating System 
Nice to Have but Not Required 
Fluent in Chinese (Mandarin)
 Proficient in Microsoft Office Suite
 Experience with public demonstrations
 Commitment: This is a full-time (40 hours per week), ongoing contract position through HireArt and based in Sunnyvale, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply


About Baidu USA
Located in the heart of Silicon Valley, Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields. Baidu USA is comprised of four groups: Baidu Research US, Intelligent Driving Group US, Baidu USDC and Smart Living Group US. At Baidu USA, we act with the nimbleness of a startup, but as a global company, have access to immense computing resources and data. This makes Baidu USA the best place for those working in AI to see their work developed and potentially deployed to hundreds of millions of users. The name Baidu was inspired by a poem written more than 800 years ago during China's Song Dynasty. Baidu, whose literal meaning is “hundreds of times,” represents a persistent search for the ideal.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply

    ",,Competitive
Data Annotation Specialist | $40k - $50k per year,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-data-annotation/6935321071.html,2019-07-16 10:45, (SOMA / south beach),"
        

If you're interested in applying for the role or finding out more, you can check it out
here.


Through deploying modern deep learning techniques, Standard Cognition is enabling autonomous checkout for brick & mortar retailers with our AI-powered computer vision platform. We are looking for someone to take on data annotation and validation tasks to support our computer vision team and help train our machine learning algorithms. The ideal candidate will have great attention to detail, is comfortable doing repetitive work with data, and will be responsible for helping annotate large datasets for algorithm training. This is a great opportunity for someone who is process oriented and eager to contribute feedback to internal teams that will help optimize the annotation workflow.

Responsibilities: 
Annotate and label image and video data via computer using various internal software programs.
Attach metadata (comments, markups, etc.) to image data in accordance with established procedures.
Provide constructive feedback to our engineers on tooling and processes for more efficient labeling and to improve data quality.
Maintain ownership of each annotation assignment, and respond to any changes in procedure and auditors.
Evaluate metrics to help improve our productivity.
On occasion, you will also be in the field collecting data. This would involve coordinating with our engineers for video recording at our lab to create datasets on human action recognition and item recognition.


If you're interested in applying for the role or finding out more, you can check it out
here.


Requirements

Able to type at least 50WPM (ideally touch-typing)
An excellent communicator
Meticulous and detail oriented
Able to maintain sharp focus, even with repetitive tasks
Willing to support several projects at one time, and to accept reprioritization as necessary
Self-motivated to work independently, even with minimal supervision (training is provided)
Some experience of similar activities would be a bonus, e.g. image segmentation and classification, data entry, etc. 
Commitment: This is a full-time, salaried position with Standard Cognition and is based in San Francisco, CA. 

If you're interested in applying for the role or finding out more, you can check it out
here.

    ",,"$40,000 - $50,000 per year"
Autonomous Vehicle Safety Driver | Fastest Growing Rideshare Company,https://sfbay.craigslist.org/pen/sof/d/autonomous-vehicle-safety-driver/6935321058.html,2019-07-16 10:45, (palo alto),"
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5ade7735/apply


Our client, a very well-known ridesharing company, is searching for an experienced Safety Driver for their Palo Alto office to  aid in the testing and development of autonomous technology. The ideal candidate has experience working in a fast-paced, high-growth environment. You love a good challenge and are comfortable working as part of a distributed team. You are interested in the autonomous vehicle space and feel comfortable working alongside other operators and engineers. On top of your proven history of success, you have a passion for technology and, like us, you value hard work and fun in equal measure.  

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5ade7735/apply


Requirements

Having a ""safety first"" attitude. Keeping the vehicle, team, and public safe at all times
Operate self-driving vehicles in both autonomous and manual modes between 6-8 hours a day, 5 days a week
Collaborate with operations and engineers to follow collection/missions procedures
Execute established procedures, processes, and checklists
Provide reliable and honest feedback to operations and engineer teams on test processes and performance
Being an ambassador for the technology and team
Quickly and efficiently operate proprietary software in a moving vehicle and willingness to learn new applications
Requirements:
1-2 years of Autonomous Vehicle testing experience preferred
BS/BA degree in any field, or equivalent practical work experience
Valid US Driver's license with at least 7 years driving experience, and a clean driving record (no more than 1 point in the last 3 years)
Experience with workflow management systems, preferably JIRA
Familiarity with bash/linux command line prompts is a plus
Ability to travel up to 25% of the time

Commitment: This is a full-time role, staffed through a third party agency.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5ade7735/apply



This job post is run by HireArt.com.
    ",,Competitive
iOS Mobile Developer / Architect,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-ios-mobile-developer/6934990859.html,2019-07-15 23:05, (financial district),"
        
Company: 	EmployeeChannel
Job Title: 	iOS Mobile Developer / Architect 
Reporting to: 	Director, Engineering 
Location: 	101 Montgomery Street, San Francisco

Who we are:

EmployeeChannel is a leading provider of workforce communication solutions. Our solution enables leaders and managers to deepen employees’ connection to business purpose, to boost the impact and effectiveness of their communications, and to transform the communication experience for employees. Communication strategy and planning features make it easy to plan, execute, and measure internal communications. Communication coaching and publishing features make it easy for communicators to develop relevant and compelling information and to
reach the right audience with the right message. EmployeeChannel’s mobile app makes it easy to keep employees engaged and to make them feel part of achieving the organization’s goals. To learn more about EmployeeChannel’s end-to-end solution for employer-to-employee communication, please visit www.employeechannelinc.com.

What we are looking for:

We are an early stage start-up with an energetic and high-performing team, solid financing, and a hungry market. We are searching for talented and motivated individuals who like a good challenge, enjoy teamwork, and are passionate about building something of real value. You’ll be joining an experienced team that knows how to execute to a market-defining strategy. We work hard, because we enjoy what we are doing and the people we work with. We are confident that EmployeeChannel is the team to beat in what is panning out as a huge opportunity.

Are you a Mobile Architect who loves writing beautiful apps no matter how difficult the problem? Are you also a Mobile developer who has strong experience in iOS and some exposure to Android and a strong background in backend development? If you answered yes to both questions, read on. . . . . .

What you will do:

You’ll be an active member of our Product team, driving our focus on a best in class mobile app that will deliver the wealth of relevant information from the workplace. Your leadership in this area, combined with our expertise in the industry and SaaS-based solutions, will ensure that we offer our customers best of breed solutions.

Here’s a sample of what that would look like:

•	You’ll enjoy working in an Agile environment with our development team, whose track record of meeting or exceeding their commitments is strong.
•	You’ll lead cross-functional sessions with key stakeholders and our industry experts – to architect and design a product that tackles our customer problems. 
•	You’ll be forward-thinking and participate in shaping the future of our products by participating in rapid mobile prototypes, designing and developing scalable and efficient mobile app architectures, and creating and designing innovative experiences and ideas in mobile.
•	You understand the importance of being both user and data-driven. 
•	You won’t feel pigeon-holed here. Working cross-functionally with counterparts is a daily occurrence.
•	You’ll have a measurable impact on the success of our product and company. If you’re looking for a place where you can get your fingerprints all over the product, this is a good place to call home.

What you should know:

We’re looking for an experienced mobile developer to architect and lead development for our products. You should be naturally curious – always looking for new and creative ways to help our users learn and make decisions. 

Job Responsibilities:

•	Lead, design, architect, and develop EmployeeChannel’s (iOS) mobile products
•	Guide key technology decisions leading to the development of mobile architectures and apps (both tactical and strategic) to support the business needs of EmployeeChannel and EmployeeChannel’s customers and users
•	Recommend development sprint plans to best achieve app execution
•	Work with the leadership from User Experience Design, Product Management, Development, QA, and Documentation across several teams to plan implementation in an agile fashion.
•	Investigate industry trends and contemporary solutions that will ensure our iOS app delivers the best possible user experience.
•	Regularly develop prototypes and proofs of concept as a means of collaborating with Product Management and UI/UX during the product concept/requirements stage.
•	Troubleshoot/debug and fix bugs and performance issues
•	Partner with stakeholders to define and develop the best possible product for our customers and participate in ongoing research and evaluation of new related technologies
•	Be a team player; demonstrate strong interaction skills in a close-knit peer environment.
•	Juggle multiple projects while effectively managing timelines and expectations
•	Effectively communicate conceptual ideas and architectural decisions with technical and business counterparts.

Minimum Requirements:

1.	A bachelor’s degree in computer science, engineering or a related field, or the equivalent gained through a combination of education and experience

2.	Technical Skills:  Objective-C, C, Swift, Storyboard

3.	3 years of native iOS mobile architect and development experience building multi-threaded, Enterprise grade, scalable, high performance apps for phones and tablets including experience with web services/RESTful APIs is required.

4.	3 years experience with direct customer interaction including incorporating customer feedback into the mobile product design and development.

5.	3 yrs experience in User Interface/User Experience (UI/UX) design, interactive and multimedia design, and implementation for iPhone/iPad.

6.	Experience working on a minimum of 10 commercial iOS mobile applications.

7.	Passion for writing clean, maintainable, and testable code at both the UI and system levels; and experience working in a team to provide mobile best practices, and develop and execute mobile strategies and plans

8.	Excellent verbal and written communication skills

9.	Expertise in using version control tools (e.g. Git)

10.	Quick learner, with passion for new technologies

11.	Self-motivated and drive for excellence, innovation, and execution

EMPLOYEECHANNEL INC. IS AN EQUAL OPPORTUNITY EMPLOYER.

    ","101 Montgomery Street, Suite 350 near Sutter Street",competitive salary + benefits + stock options
Data Analyst/Production Support Specialist,https://sfbay.craigslist.org/eby/sof/d/san-leandro-data-analyst-production/6934940284.html,2019-07-15 19:59, (san leandro),"
        
We are looking for a qualified Data Analyst for the healthcare industry. This job role consists of operating a workflow which validates and outputs claim data for our clients. Technical aptitude is a must, as additional responsibilities include troubleshooting, QA analysis, testing programming changes, and creating/modifying our automated validations.

Individuals with an affinity for computing, filesystems, and scripting are encouraged to apply.

Position Summary 
Assist production to ensure data quality meets customer expectations.  Work with development and customer support teams to improve quality and efficiencies through automation and process improvements.
Entry-level position. 

Roles and Responsibilities:
- Manage multiple customer's workflow processes to ensure all production is completed, error free and in a timely manner . 
- Assist team to design, document and test high quality applications that meet organizational and customer requirements. 
- Produce, review and distribute reports
- Identify areas for system and process improvement

Required Skills/Knowledge 
- 2-year AA degree required (Computer Science or related analytic field) 
- Excellent communication skills 
- Excellent time management, organization and documentation skills 
- Excellent analytical and problem solving skills 
- Excellent attention to detail 
- Strong ability to multi-task in a fast-paced environment
- Ability to design creative solutions to meet the client's business and technical needs
- Understanding of database structures, data files and data relationships
-•MS Word, Power Point, Excel preferred 
- Working knowledge of MS Access and/or SQL a plus 
- EDI knowledge (X12, EDIFACT, XML, mapping) a plus
- Documentation and test experience a plus

DocuStream Corporation, founded in 1995, is a leader in data capture and forms recognition technologies, specializing in the Health Care industry.
    ",14860 Wicks Blvd,$15-20/hr
Microsoft CRM Dynamics 365 Migration - full & part-time work from home,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-microsoft-crm-dynamics/6934637046.html,2019-07-15 12:33,,"
        
ROM3 is a 4-year-old entrepreneurial medical technology company specializing in patented, one of a kind technology in the rehabilitation space. We are looking for one part-time and one full time expert in Microsoft Dynamics 365 CRM migration.  Specifically, we are looking for a hands-on technical expert to help us transition from VanillaSoft.net into D365 for tele sales, sales, and more. This is a “work from home office on an hourly basis” situation.  D365 is in the cloud, and not on-premises.  Visit www.rom3rehab.com to explore our state-of-the-art technology and our company.

Job Description - introduction

Our current CRM has outlived its usefulness and cannot fulfill our potential.  We need the professional, and very customizable abilities of D365.  Our philosophy is to proactively manage all our business processes by statistics.  To enable such reports, our CRM applications must capture the correct data; yet remain easy to our users.  We liberally use PowerApps and custom entities.

We are over halfway through our implementation plan.  I want to hire an experienced manager to join our team, study the plan, work with me to find and fill any shortcomings and be excited about taking it to a very successful completion.

Here is who you are:
1.	You have a positive outlook, and are flexible with good communication skills
2.	You have a home office from which you can go online and generally conduct business virtually
3.	You have availability for phone calls and virtual meetings during daytime hours
4.	You know D365 very well, transitioning to it and issues about training users
5.	You understand the challenges of migrating 200k records into a new system

Here is what you will do:
1.	Understand our business need and situation
2.	Learn how our current processes solution works and by it, our process requirements
3.	Report to me as our team implements the plan
4.	Troubleshoot the plan as required as situations arise

Other notes:
1.	Starting compensation is to be determined based on relevant experience and ‘crawl-walk-run’ general approach to bringing on new hires.
2.	If you are interested, please include a resume and a detailed and personalized cover letter to Sean Allison.  To be considered, please include compensation parameters.
    ",,TBD
Content Programming Operations Specialist -- Virtual Reality,https://sfbay.craigslist.org/pen/sof/d/menlo-park-content-programming/6934627567.html,2019-07-15 12:23, (menlo park),"
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a12cb7fd/apply


HireArt is looking to hire a Content Programming Operations Specialist to work on-site at our client’s Menlo Park office on a contract basis. In this role, you’ll manage CMS content for the company’s e-commerce site that brings innovative and cutting edge AR/VR products to users across the globe. You’ll collaborate with cross-functional teams including content discovery, marketing, engineering, and product teams to launch content within the company’s CMS. The ideal candidate for this role has a strong technical background with extensive knowledge of operational roles, editorial calendars, and developer relations. Responsibilities:
Implement best practices across pricing, copywriting, content launch dates, QA testing, and tagging content. 
Create, manage and publish content across CMS platforms. 
Adhere to brand and content standards and guidelines. 
Implement web analytics tags and tracking. 
Create CMS development documentation. 
Work cross-functionally with marketing, creative and technical teams. 


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a12cb7fd/apply


Requirements

Experience developing within a CMS
An understanding of CMS platform requirements, software compatibility, and troubleshooting
Strong communication and collaboration skills
A passion for technology and the AR/VR industry a plus
Experience merchandising online content is a plus
Commitment: This is a full-time (40 hours per week), 6-month contract position (with potential for extension) through HireArt and based in San Francisco, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a12cb7fd/apply



This job post is run by HireArt.com.
Learn more about us here or read
about us in the New York Times.


Check out more jobs with HireArt mobile app!


    ",,"$30 per hour, flexible depending on experience"
Vehicle Operator at Toyota,https://sfbay.craigslist.org/sby/sof/d/los-altos-vehicle-operator-at-toyota/6934504158.html,2019-07-15 10:20,,"
        

If you're interested in applying for the role or finding out more, you can check it out
here.



Toyota Research Institute (TRI) is working on developing vehicles incapable of causing a crash and technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility. 

We're seeking motivated individuals with a passion for technology to join TRI's Driving Operations Team in Los Altos, CA. You'll be responsible for TRI's autonomous vehicle platforms on various public and private roads, obtaining data and fixing technical issues. In this role, you'll provide necessary feedback to the engineering team aimed at improving groundbreaking automated driving technology.TRI's fun start up environment is fueled by a diverse and inclusive community of people who carry invaluable experience from industry-leading companies. If you're passionate about working with brilliant people to make cars safer, TRI is the place for you. 


If you're interested in applying for the role or finding out more, you can check it out
here.


Requirements

Bachelor's degree or equivalent experience
Valid US driver's license, a clean driving record, and 7+ years of driving experience  
Ability to consistently demonstrate situational awareness and a willingness to constantly adjust to changes in the environment. 
Able to demonstrate safe driving in all weather conditions, including snow
Excellent verbal and written communication skills
Ability to learn quickly and implement new concepts
Proficient computer skills, including basic troubleshooting with the ability to utilize proprietary tools
Ability to perform physical work, including, but not limited to, bending, stooping, and lifting up to 50 lbs.


If you're interested in applying for the role or finding out more, you can check it out
here.

Commitment: This is a long-term, full-time (40 hours per week with possible overtime) contract position, staffed by HireArt, that requires spending four to six hours inside the vehicle on a daily basis. Compensation is hourly and paid training is provided. Occasional extended travel time may be required.     ",,Competitive
